,r-BM,k-CK,k-CY,e-DS,e-DT,k-DT,r-HL,r-HS,k-HY,e-JF,k-JF,e-JL,k-KD,e-KD,k-LB,e-MK,e-MN,r-PW,e-TB,k-WC,r-YD,e-YJ,r-BG
k-JF,17.710784159191,6.66841731662834,15.4169580317873,9.48922657132079,24.9413805186023,24.9413805186023,13.1420736297067,17.4458381413601,7.19578323265049,0,0,16.1571792173239,11.3839866844074,11.3839866844074,6.14467272718157,12.637323316482,11.4978051141892,8.89525074253263,12.9818083638872,8.67251595765945,16.2493587957099,16.1650029947956,15.266461444806
e-JL,3.79456826369623,16.2247505763772,4.13750919485965,7.3589890450022,18.95136823451,18.95136823451,4.26571429164323,1.79499486110119,16.5648739025167,16.1571792173239,16.1571792173239,0,6.3214939958109,6.3214939958109,17.2538276539049,5.2857727902963,4.95991567369765,9.47075909145965,11.7791296233311,17.3672517084712,1.71620019466618,1.24143287774232,3.56740826279381
k-KD,6.48965592861763,10.0350607734073,4.08311350521451,1.97818478082002,16.41384789027,16.41384789027,2.13692144358184,6.88627100398241,10.3323307125132,11.3839866844074,11.3839866844074,6.3214939958109,0,0,11.1512573133991,1.30381212514682,4.90127561456992,3.23602655750042,6.20048109763595,11.0616651039023,5.57847797484455,5.70504266216698,4.04603470888894
e-KD,6.48965592861763,10.0350607734073,4.08311350521451,1.97818478082002,16.41384789027,16.41384789027,2.13692144358184,6.88627100398241,10.3323307125132,11.3839866844074,11.3839866844074,6.3214939958109,0,0,11.1512573133991,1.30381212514682,4.90127561456992,3.23602655750042,6.20048109763595,11.0616651039023,5.57847797484455,5.70504266216698,4.04603470888894
k-LB,17.4906031473471,1.33343256029141,15.0316547103884,9.90345061462023,20.6352478950388,20.6352478950388,13.2784634866806,18.0268196108837,1.49687458029946,6.14467272718157,6.14467272718157,17.2538276539049,11.1512573133991,11.1512573133991,0,12.4165450459963,13.6660260834747,7.9198134140534,9.52320710955199,2.67116538929137,16.7209767280358,16.81374196032,15.1253829303333
e-MK,5.18599317392615,11.2777868219446,2.79122372942767,3.1597342118968,16.0198539809869,16.0198539809869,1.02679684788771,5.66773480420481,11.5557415694992,12.637323316482,12.637323316482,5.2857727902963,1.30381212514682,1.30381212514682,12.4165450459963,0,4.94253701667075,4.49750626513636,6.69224669171758,12.222778529784,4.3633965463581,4.53760577627069,2.743549135858
e-MN,7.78174022530617,12.8660522557277,6.41159623300703,4.39925620143812,20.9418654595494,20.9418654595494,4.38567769456079,6.58164284841271,13.3100123792554,11.4978051141892,11.4978051141892,4.95991567369765,4.90127561456992,4.90127561456992,13.6660260834747,4.94253701667075,0,6.85233329585902,11.0525474923002,14.4079461887782,5.69842220017782,5.4144023017914,5.90894022528449
r-PW,9.61830595839095,6.80042402090484,7.16498852684662,2.46025924580344,16.8651383852979,16.8651383852979,5.37068733433546,10.121548596269,7.10848437557577,8.89525074253263,8.89525074253263,9.47075909145965,3.23602655750042,3.23602655750042,7.9198134140534,4.49750626513636,6.85233329585902,0,5.14579907843801,7.91282828527899,8.81392480862421,8.92960910391661,7.21896402618515
e-TB,10.1298104888388,8.19125953834568,8.00935750319201,6.99098757188926,12.0054845173476,12.0054845173476,7.6879940514986,11.6381441260291,8.13064874586675,12.9818083638872,12.9818083638872,11.7791296233311,6.20048109763595,6.20048109763595,9.52320710955199,6.69224669171758,11.0525474923002,5.14579907843801,0,7.96335095305757,10.4690062292839,10.7936095122755,8.42562437348753
k-WC,17.0189389666167,2.08064433955665,14.5967804367521,10.2377827566028,18.339213804927,18.339213804927,13.1818356030885,17.8866351175844,1.51376394943539,8.67251595765945,8.67251595765945,17.3672517084712,11.0616651039023,11.0616651039023,2.67116538929137,12.222778529784,14.4079461887782,7.91282828527899,7.96335095305757,0,16.5851343784562,16.751218008418,14.7948943525526
r-YD,2.22831009008362,15.6135385506136,2.55595450131916,6.99953614733234,17.2351729796052,17.2351729796052,3.44373567053727,1.30787013058969,15.9066084130947,16.2493587957099,16.2493587957099,1.71620019466618,5.57847797484455,5.57847797484455,16.7209767280358,4.3633965463581,5.69842220017782,8.81392480862421,10.4690062292839,16.5851343784562,0,0.477185834176602,2.05412451921141
e-YJ,2.66209446886276,15.7281005000026,2.96223211426421,7.01899511727773,17.7107564988089,17.7107564988089,3.57174937978668,1.28146411849058,16.0353204742783,16.1650029947956,16.1650029947956,1.24143287774232,5.70504266216698,5.70504266216698,16.81374196032,4.53760577627069,5.4144023017914,8.92960910391661,10.7936095122755,16.751218008418,0.477185834176602,0,2.42586861985403
r-BG,2.45737627085476,13.9607937293189,0.605764075396006,5.78982813898155,15.6692963975618,15.6692963975618,2.13228557673349,3.22694047520439,14.2138039936191,15.266461444806,15.266461444806,3.56740826279381,4.04603470888894,4.04603470888894,15.1253829303333,2.743549135858,5.90894022528449,7.21896402618515,8.42562437348753,14.7948943525526,2.05412451921141,2.42586861985403,0
